KD_NEWS_KEY	Newsletter_1_Cupon_2022	Newsletter_2_Cupon_2022	Newsletter_3_Cupon_2022	Newsletter_4_Cupon_2022	Newsletter_5_Cupon_2022	Newsletter_6_Cupon_2022	Newsletter_7_Cupon_2022	Newsletter_8_Cupon_2022	Newsletter_9_Cupon_2022	Newsletter_10_Cupon_2022	Newsletter_11_Cupon_2022	Newsletter_12_Cupon_2022
218	nein	nein	nein	nein	ja	nein	ja	nein	nein	ja	nein	nein
222	ja	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein
223	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	nein	ja
193	nein	nein	ja	nein	ja	ja	ja	nein	nein	ja	ja	nein
179	nein	nein	nein	ja	nein	nein	ja	nein	nein	ja	nein	ja
194	nein	ja	ja	nein	nein	ja	ja	ja	nein	nein	nein	ja
25	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja
210	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	ja
205	nein	nein	ja	nein	ja	nein	ja	nein	nein	nein	nein	ja
21	nein	nein	ja	nein	nein	nein	ja	nein	nein	nein	ja	ja
135	nein	nein	nein	ja	ja	ja	ja	nein	nein	nein	ja	ja
126	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein	nein	nein
228	nein	nein	nein	ja	nein	nein	ja	nein	ja	nein	nein	ja
227	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	ja	ja
149	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein	nein	ja
92	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein	nein	ja
132	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	ja	nein
182	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein
189	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	ja	ja
115	nein	nein	nein	ja	nein	ja	nein	ja	nein	nein	nein	nein
34	nein	nein	ja	nein	nein	ja	nein	ja	nein	nein	nein	nein
130	ja	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	ja
31	nein	nein	nein	nein	nein	nein	ja	ja	nein	ja	nein	ja
84	nein	nein	nein	ja	nein	ja	nein	ja	ja	nein	nein	ja
238	nein	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	ja
27	ja	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja	ja
93	nein	nein	ja	nein	ja	ja	ja	nein	nein	nein	ja	ja
19	ja	ja	ja	nein	ja	nein	nein	ja	nein	nein	nein	nein
250	nein	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	nein
116	nein	nein	nein	ja	nein	ja	ja	nein	ja	nein	nein	ja
68	ja	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	ja
48	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	ja
151	nein	ja	ja	nein	ja	ja	nein	nein	ja	nein	nein	ja
106	nein	nein	ja	nein	nein	nein	ja	nein	nein	nein	nein	ja
61	ja	nein	nein	nein	nein	ja	ja	ja	ja	nein	ja	nein
122	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein
171	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	ja
129	ja	nein	ja	nein	nein	ja	ja	nein	nein	nein	ja	nein
70	nein	nein	nein	nein	nein	nein	ja	ja	nein	ja	nein	ja
26	ja	nein	nein	ja	nein	nein	nein	ja	nein	nein	nein	ja
5	nein	nein	ja	nein	ja	nein	ja	nein	nein	nein	nein	ja
235	nein	nein	ja	nein	ja	nein	nein	nein	nein	ja	nein	nein
200	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	nein	ja
212	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein
244	nein	nein	nein	nein	ja	ja	nein	nein	ja	nein	nein	ja
63	nein	nein	ja	nein	nein	ja	ja	nein	nein	nein	nein	ja
24	ja	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein
67	ja	nein	ja	ja	nein	nein	nein	nein	nein	ja	nein	ja
225	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	ja
82	ja	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein
7	nein	ja	nein	nein	ja	nein	ja	nein	nein	nein	nein	ja
197	nein	nein	ja	ja	nein	nein	nein	ja	nein	ja	nein	ja
23	ja	ja	nein	nein	ja	nein	nein	nein	nein	nein	nein	ja
148	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein	nein	nein
12	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein
96	nein	nein	ja	nein	ja	nein	ja	ja	nein	ja	nein	ja
75	nein	ja	ja	nein	nein	nein	ja	nein	ja	nein	nein	ja
224	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein
77	nein	nein	ja	nein	nein	nein	ja	ja	nein	nein	nein	ja
166	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein
158	nein	ja	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein
184	nein	nein	ja	nein	ja	nein	ja	nein	nein	nein	ja	ja
59	nein	ja	ja	ja	nein	nein	ja	nein	nein	nein	nein	ja
114	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	ja
6	nein	nein	nein	nein	ja	nein	nein	nein	ja	nein	nein	ja
112	ja	ja	nein	ja	nein	ja	nein	ja	nein	nein	nein	ja
105	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja
133	ja	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	ja
153	nein	nein	ja	nein	nein	ja	nein	ja	nein	nein	nein	ja
143	nein	ja	ja	nein	ja	nein	ja	nein	ja	nein	nein	ja
51	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	nein
196	nein	nein	ja	nein	nein	nein	ja	ja	nein	nein	nein	nein
145	ja	nein	ja	nein	ja	ja	ja	nein	ja	nein	nein	ja
118	nein	nein	nein	nein	ja	nein	ja	ja	ja	nein	nein	ja
56	nein	nein	nein	nein	nein	ja	ja	nein	ja	nein	nein	nein
91	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein
138	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	ja	nein
192	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja
243	nein	nein	nein	ja	nein	ja	nein	ja	ja	nein	nein	nein
97	ja	nein	nein	nein	nein	nein	nein	nein	nein	ja	nein	ja
168	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein	nein	ja
71	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	ja
150	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	ja
211	nein	nein	nein	nein	ja	nein	nein	nein	ja	nein	nein	ja
187	nein	nein	ja	ja	ja	ja	nein	ja	nein	nein	nein	ja
101	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	ja	ja
58	nein	nein	nein	nein	ja	nein	ja	nein	ja	nein	nein	nein
103	nein	nein	ja	nein	ja	nein	nein	nein	nein	nein	nein	ja
221	ja	nein	ja	nein	ja	ja	ja	nein	nein	ja	nein	ja
142	ja	nein	nein	ja	nein	nein	ja	nein	ja	ja	ja	ja
36	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	ja
169	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	ja
230	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein
18	nein	nein	nein	nein	nein	ja	ja	nein	ja	nein	ja	nein
209	ja	nein	nein	ja	ja	nein	nein	ja	ja	nein	nein	ja
94	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	ja	ja
147	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	ja
10	nein	nein	ja	nein	ja	nein	ja	nein	ja	nein	nein	nein
89	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	nein
3	nein	nein	ja	nein	nein	nein	ja	nein	nein	nein	nein	nein
15	nein	nein	nein	nein	nein	nein	nein	nein	ja	nein	nein	ja
220	nein	nein	nein	ja	ja	nein	ja	nein	nein	ja	nein	nein
54	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein
22	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	nein
155	nein	nein	nein	nein	ja	ja	ja	ja	nein	nein	nein	nein
157	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	nein	nein
240	ja	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	ja
110	nein	nein	nein	nein	ja	nein	ja	ja	ja	nein	nein	nein
146	ja	nein	nein	nein	ja	ja	nein	ja	nein	nein	nein	nein
86	nein	nein	nein	nein	ja	nein	ja	ja	ja	nein	ja	ja
127	nein	nein	ja	nein	ja	ja	ja	ja	ja	nein	nein	nein
178	nein	nein	ja	ja	nein	nein	nein	nein	nein	nein	nein	ja
207	ja	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	ja
131	ja	nein	nein	nein	nein	ja	ja	ja	ja	nein	ja	ja
226	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein
241	nein	nein	nein	nein	ja	nein	ja	nein	nein	ja	nein	nein
109	nein	nein	nein	ja	ja	ja	ja	nein	ja	nein	ja	nein
139	nein	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	ja
57	ja	nein	nein	ja	ja	ja	ja	ja	nein	nein	nein	nein
