	Getränk	Region	Bestellnummer	Rechnungsnummer	Kundennummer	Listenpreis	Rabatt in Prozent	Verkaufspreis	Rabatt Preis	Einkaufpreis	VK Peris in USD
2382	Whisky	EU	1456.0	RE_2023_1456	243.0	128.27	0	128.27	0.0	96.2	137.97
5150	Whisky	USA	4224.0	RE_2023_4224	8.0	152.11	10	152.11	-15.210000000000008	114.08	147.25
801	Whisky	EU	7994.0	RE_2023_7994	193.0	132.81	5	n132.81	-6.640000000000001	99.61	135.71
4668	Champagner	EU	3742.0	RE_2023_3742	168.0	154.98	0	154.98	0.0	116.23	166.7
8554	Wein	USA	7628.0	RE_2023_7628	241.0	180.21	0	180.21	0.0	135.16	193.83
4574	Rum	EU	3648.0	RE_2023_3648	211.0	127.57	0	127.57	0.0	95.68	137.21
9536	Rum	Asien	8610.0	RE_2023_8610	22.0	215.89	10	215.89	-21.589999999999975	161.92	208.99
9073	Whisky	USA	8147.0	RE_2023_8147	236.0	122.71	0	122.71	0.0	92.03	131.99
4511	Champagner	USA	3585.0	RE_2023_3585	45.0	190.87	0	190.87	0.0	143.15	205.3
8842	Rum	EU	7916.0	RE_2023_7916	98.0	158.33	0	158.33	0.0	118.75	170.3
5085	Whisky	Asien	4159.0	RE_2023_4159	159.0	184.7	0	184.7	0.0	138.52	198.66
5866	Whisky	Asien	4940.0	RE_2023_4940	198.0	225.73	0	225.73	0.0	169.3	242.8
4961	Whisky	USA	4035.0	RE_2023_4035	147.0	216.98	0	216.98	0.0	162.73	233.38
7394	Whisky	Asien	6468.0	RE_2023_6468	240.0	212.01	0	212.01	0.0	159.01	228.04
3263	Whisky	EU	2337.0	RE_2023_2337	134.0	156.49	0	156.49	0.0	117.37	168.32
5087	Whisky	EU	4161.0	RE_2023_4161	148.0	199.2	5	199.2	-9.95999999999998	149.4	203.55
5490	Wein	USA	4564.0	RE_2023_4564	27.0	203.91	0	203.91	0.0	152.93	219.33
4326	Champagner	USA	3400.0	RE_2023_3400	268.0	217.36	0	217.36	0.0	163.02	233.79
3473	Champagner	Asien	2547.0	RE_2023_2547	49.0	100.7	0	100.7	0.0	75.53	108.31
9752	Whisky	USA	8826.0	RE_2023_8826	35.0	171.15	0	171.15	0.0	128.36	184.09
7758	Whisky	USA	6832.0	RE_2023_6832	148.0	152.04	5	152.04	-7.599999999999994	114.03	155.36
5000	Wein	EU	4074.0	RE_2023_4074	257.0	171.52	0	171.52	0.0	128.64	184.49
1774	Champagner	Asien	848.0	RE_2023_848	14.0	218.99	0	218.99	0.0	164.24	235.55
6266	Rum	EU	5340.0	RE_2023_5340	81.0	133.01	0	133.01	0.0	99.76	143.07
2692	Wein	USA	1766.0	RE_2023_1766	45.0	182.55	0	182.55	0.0	136.91	196.35
2868	Whisky	USA	1942.0	RE_2023_1942	299.0	220.88	10	220.88	-22.090000000000003	165.66	213.82
1979	Wein	EU	1053.0	RE_2023_1053	130.0	87.7	0	87.7	0.0	65.78	94.33
10762	Whisky	EU	9836.0	RE_2023_9836	106.0	82.62	0	82.62	0.0	61.96	88.87
9113	Whisky	EU	8187.0	RE_2023_8187	143.0	87.71	0	87.71	0.0	65.78	94.34
7238	Champagner	USA	6312.0	RE_2023_6312	1.0	166.26	0	166.26	0.0	124.7	178.83
9370	Wein	USA	8444.0	RE_2023_8444	54.0	94.7	0	94.7	0.0	71.03	101.86
7662	Wein	USA	6736.0	RE_2023_6736	289.0	175.88	0	175.88	0.0	131.91	189.18
6865	Wein	Asien	5939.0	RE_2023_5939	284.0	158.2	5	158.2	-7.909999999999997	118.65	161.65
10765	Whisky	EU	9839.0	RE_2023_9839	270.0	165.19	0	165.19	0.0	123.89	177.68
1173	Wein	USA	247.0	RE_2023_247	7.0	147.08	10	147.08	-14.710000000000008	110.31	142.38
8599	Whisky	EU	7673.0	RE_2023_7673	158.0	196.98	0	196.98	0.0	147.73	211.87
405	Champagner	USA	1658.0	RE_2023_1658	137.0	109.73	0	109.73	0.0	82.3	118.03
2275	Whisky	Asien	1349.0	RE_2023_1349	139.0	113.84	0	113.84	0.0	85.38	122.45
2410	Whisky	USA	1484.0	RE_2023_1484	65.0	182.15	0	182.15	0.0	136.61	195.92
7186	Whisky	EU	6260.0	RE_2023_6260	42.0	206.84	0	206.84	0.0	155.13	222.48
7028	Whisky	USA	6102.0	RE_2023_6102	140.0	224.56	0	224.56	0.0	168.42	241.54
6303	Wein	Asien	5377.0	RE_2023_5377	46.0	126.53	0	126.53	0.0	94.9	136.1
551	Wein	USA	3994.0	RE_2023_3994	31.0	192.46	0	192.46	0.0	144.34	207.01
3815	Whisky	Asien	2889.0	RE_2023_2889	239.0	89.37	0	89.37	0.0	67.03	96.13
6826	Champagner	EU	5900.0	RE_2023_5900	157.0	188.77	0	188.77	0.0	141.58	203.04
6238	Whisky	Asien	5312.0	RE_2023_5312	264.0	217.91	10	217.91	-21.789999999999992	163.43	210.95
3057	Rum	EU	2131.0	RE_2023_2131	121.0	136.69	0	136.69	0.0	102.52	147.02
5421	Whisky	USA	4495.0	RE_2023_4495	243.0	165.75	0	165.75	0.0	124.31	178.28
7029	Whisky	Asien	6103.0	RE_2023_6103	230.0	172.77	0	172.77	0.0	129.58	185.83
5771	Whisky	EU	4845.0	RE_2023_4845	257.0	131.56	0	131.56	0.0	98.67	141.51
7673	Whisky	EU	6747.0	RE_2023_6747	195.0	176.63	0	176.63	0.0	132.47	189.98
7516	Whisky	USA	6590.0	RE_2023_6590	239.0	93.15	10	93.15	-9.310000000000002	69.86	90.18
10374	Rum	USA	9448.0	RE_2023_9448	131.0	109.8	0	109.8	0.0	82.35	118.1
2025	Wein	Asien	1099.0	RE_2023_1099	186.0	100.65	0	100.65	0.0	75.49	108.26
9640	Whisky	EU	8714.0	RE_2023_8714	127.0	224.16	0	224.16	0.0	168.12	241.11
2366	Whisky	EU	1440.0	RE_2023_1440	117.0	163.44	5	163.44	-8.169999999999987	122.58	167.01
1027	Whisky	EU	101.0	RE_2023_101	3.0	94.98	5	94.98	-4.75	71.24	97.05
9704	Wein	Asien	8778.0	RE_2023_8778	217.0	101.35	0	101.35	0.0	76.01	109.01
7750	Wein	USA	6824.0	RE_2023_6824	15.0	211.18	0	211.18	0.0	158.38	227.15
4421	Whisky	EU	3495.0	RE_2023_3495	226.0	192.08	0	192.08	0.0	144.06	206.6
8488	Wein	USA	7562.0	RE_2023_7562	31.0	85.68	0	85.68	0.0	64.26	92.16
582	Whisky	EU	4490.0	RE_2023_4490	252.0	92.53	0	92.53	0.0	69.4	99.53
10112	Champagner	EU	9186.0	RE_2023_9186	204.0	137.01	0	137.01	0.0	102.76	147.37
10503	Whisky	Asien	9577.0	RE_2023_9577	228.0	95.44	0	95.44	0.0	71.58	102.66
3220	Wein	USA	2294.0	RE_2023_2294	233.0	194.06	0	194.06	0.0	145.55	208.73
4348	Rum	Asien	3422.0	RE_2023_3422	104.0	209.28	5	209.28	-10.460000000000008	156.96	213.85
10281	Whisky	EU	9355.0	RE_2023_9355	272.0	115.77	10	115.77	-11.579999999999998	86.83	112.07
6133	Rum	USA	5207.0	RE_2023_5207	237.0	177.28	0	177.28	0.0	132.96	190.68
6138	Whisky	EU	5212.0	RE_2023_5212	182.0	229.34	0	229.34	0.0	172.0	246.68
3083	Whisky	EU	2157.0	RE_2023_2157	44.0	153.3	5	153.3	-7.660000000000025	114.98	156.65
5158	Whisky	EU	4232.0	RE_2023_4232	237.0	91.05	0	91.05	0.0	68.29	97.93
1347	Whisky	USA	421.0	RE_2023_421	290.0	112.67	10	112.67	-11.269999999999996	84.5	109.07
7263	Whisky	USA	6337.0	RE_2023_6337	188.0	144.18	0	144.18	0.0	108.14	155.08
10541	Whisky	EU	9615.0	RE_2023_9615	151.0	181.22	0	181.22	0.0	135.92	194.92
8033	Wein	EU	7107.0	RE_2023_7107	143.0	212.82	5	212.82	-10.639999999999986	159.62	217.46
2930	Whisky	USA	2004.0	RE_2023_2004	35.0	97.1	10	97.1	-9.709999999999994	72.82	94.0
1238	Wein	USA	312.0	RE_2023_312	94.0	95.6	5	95.6	-4.780000000000001	71.7	97.69
5166	Whisky	USA	4240.0	RE_2023_4240	243.0	222.8	0	222.8	0.0	167.1	239.64
305	Whisky	EU	58.0	RE_2023_58	158.0	192.42	0	192.42	0.0	144.32	206.97
1887	Whisky	EU	961.0	RE_2023_961	211.0	90.42	5	90.42	-4.519999999999996	67.82	92.39
10411	Whisky	EU	9485.0	RE_2023_9485	150.0	156.41	0	156.41	0.0	117.31	168.23
10018	Whisky	EU	9092.0	RE_2023_9092	230.0	82.53	0	82.53	0.0	61.9	88.77
34	Whisky	USA	10024.0	RE_2023_10024	9.0	97.01	0	97.01	0.0		104.34
6376	Wein	USA	5450.0	RE_2023_5450	256.0	127.11	0	127.11	0.0	95.33	136.72
9783	Whisky	EU	8857.0	RE_2023_8857	49.0	228.95	0	228.95	0.0	171.71	246.26
6372	Rum	EU	5446.0	RE_2023_5446	213.0	94.87	0	94.87	0.0	71.15	102.04
3557	Champagner	USA	2631.0	RE_2023_2631	114.0	206.52	0	206.52	0.0	154.89	222.13
2467	Whisky	EU	1541.0	RE_2023_1541	85.0	197.77	0	197.77	0.0	148.33	212.72
6310	Rum	EU	5384.0	RE_2023_5384	137.0	82.47	0	82.47	0.0	61.85	88.7
2968	Wein	EU	2042.0	RE_2023_2042	72.0	152.12	0	152.12	0.0	114.09	163.62
1661	Whisky	EU	735.0	RE_2023_735	50.0	156.79	0	156.79	0.0	117.59	168.64
8180	Whisky	USA	7254.0	RE_2023_7254	136.0	91.13	5	91.13	-4.560000000000002	68.35	93.11
5194	Wein	USA	4268.0	RE_2023_4268	272.0	196.88	0	196.88	0.0	147.66	211.76
3762	Wein	Asien	2836.0	RE_2023_2836	142.0	127.04	0	127.04	0.0	95.28	136.64
5247	Wein	Asien	4321.0	RE_2023_4321	232.0	119.72	0	119.72	0.0	89.79	128.77
8261	Wein	USA	7335.0	RE_2023_7335	130.0	125.92	0	125.92	0.0	94.44	135.44
7236	Whisky	Asien	6310.0	RE_2023_6310	82.0	225.13	10	225.13	-22.50999999999999	168.85	217.94
6017	Wein	EU	5091.0	RE_2023_5091	74.0	209.91	0	209.91	0.0	157.43	225.78
5354	Wein	Asien	4428.0	RE_2023_4428	94.0	206.27	0	206.27	0.0	154.7	221.86
2643	Wein	EU	1717.0	RE_2023_1717	129.0	131.93	5	131.93	-6.6000000000000085	98.95	134.8
8801	Whisky	EU	7875.0	RE_2023_7875	251.0	173.63	0	173.63	0.0	130.22	186.76
4447	Champagner	USA	3521.0	RE_2023_3521	71.0	103.76	5	103.76	-5.190000000000012	77.82	106.02
6650	Whisky	Asien	5724.0	RE_2023_5724	277.0	92.28	10	92.28	-9.230000000000004	69.21	89.33
1832	Wein	Asien	906.0	RE_2023_906	16.0	191.6	0	191.6	0.0	143.7	206.08
2403	Whisky	EU	1477.0	RE_2023_1477	4.0	126.73	0	126.73	0.0	95.05	136.31
107	Whisky	USA	1235.0	RE_2023_1235	36.0	122.94	0	122.94	0.0	92.2	132.23
4334	Wein	USA	3408.0	RE_2023_3408	78.0	154.94	0	154.94	0.0	116.2	166.65
6711	Whisky	EU	5785.0	RE_2023_5785	294.0	212.23	5	212.23	-10.609999999999985	159.17	216.86
6635	Whisky	Asien	5709.0	RE_2023_5709	62.0	197.46	5	197.46	-9.870000000000005	148.1	201.77
10902	Whisky	EU	9976.0	RE_2023_9976	146.0	83.47	0	83.47	0.0	62.6	89.78
222	Champagner	EU	6410.0	RE_2023_6410	92.0	242.06	0	242.06	0.0	181.54	260.36
6182	Champagner	USA	5256.0	RE_2023_5256	141.0	170.17	0	170.17	0.0	127.63	183.03
1031	Wein	EU	105.0	RE_2023_105	123.0	221.49	0	221.49	0.0	166.12	238.23
5364	Wein	Asien	4438.0	RE_2023_4438	282.0	157.01	0	157.01	0.0	117.76	168.88
6630	Whisky	EU	5704.0	RE_2023_5704	198.0	165.03	0	165.03	0.0	123.77	177.51
5623	Whisky	EU	4697.0	RE_2023_4697	204.0	166.8	5	166.8	-8.340000000000003	125.1	170.44
6232	Wein	USA	5306.0	RE_2023_5306	51.0	138.64	0	138.64	0.0	103.98	149.12
2973	Whisky	USA	2047.0	RE_2023_2047	271.0	108.01	5	108.01	-5.400000000000006	81.01	110.37
10567	Whisky	USA	9641.0	RE_2023_9641	175.0	222.88	0	222.88	0.0	167.16	239.73
5693	Wein	Asien	4767.0	RE_2023_4767	234.0	85.19	0	85.19	0.0	63.89	91.63
1474	Whisky	EU	548.0	RE_2023_548	30.0	151.02	5	151.02	-7.550000000000011	113.27	154.32
9485	Whisky	Asien	8559.0	RE_2023_8559	181.0	170.2	0	170.2	0.0	127.65	183.07
4324	Whisky	EU	3398.0	RE_2023_3398	89.0	135.27	5	135.27	-6.760000000000019	101.45	138.23
4370	Whisky	Asien	3444.0	RE_2023_3444	58.0	171.43	10	171.43	-17.140000000000015	128.57	165.95
5534	Wein	USA	4608.0	RE_2023_4608	19.0	101.22	0	101.22	0.0	75.91	108.87
4319	Wein	EU	3393.0	RE_2023_3393	80.0	197.3	0	197.3	0.0	147.98	212.22
5004	Whisky	USA	4078.0	RE_2023_4078	114.0	225.42	0	225.42	0.0	169.06	242.46
8021	Whisky	Asien	7095.0	RE_2023_7095	275.0	101.92	5	101.92	-5.1000000000000085	76.44	104.14
9744	Wein	USA	8818.0	RE_2023_8818	40.0	132.03	0	132.03	0.0	99.02	142.01
8428	Whisky	EU	7502.0	RE_2023_7502	245.0	154.73	5	154.73	-7.739999999999981	116.05	158.1
6513	Whisky	USA	5587.0	RE_2023_5587	105.0	217.57	5	217.57	-10.879999999999995	163.18	222.32
1484	Wein	EU	558.0	RE_2023_558	164.0	124.18	10	124.18	-12.420000000000002	93.14	120.21
3528	Whisky	EU	2602.0	RE_2023_2602	122.0	174.32	0	174.32	0.0	130.74	187.5
832	Whisky	Asien	8490.0	RE_2023_8490	12.0	98.52	0	98.52	0.0	73.89	105.97
7313	Wein	Asien	6387.0	RE_2023_6387	277.0	210.65	0	210.65	0.0	157.99	226.58
5936	Rum	EU	5010.0	RE_2023_5010	148.0	192.76	5	192.76	-9.639999999999986	144.57	196.96
979	Rum	EU	53.0	RE_2023_53	128.0	121.91	0	121.91	0.0	91.43	131.13
1279	Whisky	EU	353.0	RE_2023_353	274.0	179.26	0	179.26	0.0	134.44	192.81
874	Whisky	EU	9162.0	RE_2023_9162	217.0	105.7	0	105.7	0.0	79.28	113.69
3395	Wein	Asien	2469.0	RE_2023_2469	31.0	112.63	0	112.63	0.0	84.47	121.14
8805	Whisky	EU	7879.0	RE_2023_7879	232.0	156.29	0	156.29	0.0	117.22	168.11
4670	Wein	EU	3744.0	RE_2023_3744	182.0	81.0	0	81.0	0.0	60.75	87.12
3887	Whisky	USA	2961.0	RE_2023_2961	128.0	155.0	5	155.0	-7.75	116.25	158.38
6958	Whisky	USA	6032.0	RE_2023_6032	187.0	134.5	0	134.5	0.0	100.88	144.67
4879	Whisky	EU	3953.0	RE_2023_3953	100.0	178.09	0	178.09	0.0	133.57	191.55
880	Rum	EU	9258.0	RE_2023_9258	276.0	80.07	5	80.07	-4.0	60.05	81.82
3909	Whisky	USA	2983.0	RE_2023_2983	141.0	81.45	5	81.45	-4.070000000000007	61.09	83.23
10711	Champagner	EU	9785.0	RE_2023_9785	22.0	91.31	0	91.31	0.0	68.48	98.21
1129	Wein	EU	203.0	RE_2023_203	59.0	107.68	0	107.68	0.0	80.76	115.82
8868	Rum	USA	7942.0	RE_2023_7942	266.0	198.69	0	198.69	0.0	149.02	213.71
932	Whisky	USA	6.0	RE_2023_6	215.0	130.06	5	130.06	-6.5	97.54	132.9
8548	Wein	EU	7622.0	RE_2023_7622	66.0	137.15	0	137.15	0.0	102.86	147.52
663	Whisky	EU	5786.0	RE_2023_5786	10.0	193.19	0	193.19	0.0	144.89	207.8
7970	Whisky	EU	7044.0	RE_2023_7044	237.0	142.8	0	142.8	0.0	107.1	153.6
5671	Champagner	USA	4745.0	RE_2023_4745	211.0	107.81	10	107.81	-10.780000000000001	80.86	104.37
864	Champagner	EU	9002.0	RE_2023_9002	46.0	117.9	0	117.9	0.0	88.43	126.81
8220	Whisky	EU	7294.0	RE_2023_7294	72.0	102.87	0	102.87	0.0	77.15	110.65
8489	Rum	EU	7563.0	RE_2023_7563	18.0	227.79	0	227.79	0.0	170.84	245.01
6617	Whisky	EU	5691.0	RE_2023_5691	247.0	145.44	5	145.44	-7.27000000000001	109.08	148.62
4153	Whisky	EU	3227.0	RE_2023_3227	194.0	91.84	5	91.84	-4.590000000000003	68.88	93.85
10625	Whisky	EU	9699.0	RE_2023_9699	112.0	85.78	0	85.78	0.0	64.34	92.26
7668	Whisky	EU	6742.0	RE_2023_6742	132.0	103.58	0	103.58	0.0	77.68	111.41
4919	Whisky	USA	3993.0	RE_2023_3993	110.0	180.23	0	180.23	0.0	135.17	193.86
3397	Rum	EU	2471.0	RE_2023_2471	238.0	139.74	0	139.74	0.0	104.8	150.3
8887	Whisky	Asien	7961.0	RE_2023_7961	101.0	156.12	5	156.12	-7.810000000000002	117.09	159.52
1702	Whisky	Asien	776.0	RE_2023_776	185.0	165.68	10	165.68	-16.569999999999993	124.26	160.38
1925	Whisky	EU	999.0	RE_2023_999	28.0	89.9	0	89.9	0.0	67.43	96.7
4682	Whisky	USA	3756.0	RE_2023_3756	204.0	141.48	0	141.48	0.0	106.11	152.18
3354	Champagner	EU	2428.0	RE_2023_2428	145.0	221.69	5	221.69	-11.079999999999984	166.27	226.53
575	Rum	Asien	4378.0	RE_2023_4378	49.0	173.63	0	173.63	0.0	130.22	186.76
780	Whisky	USA	7658.0	RE_2023_7658	165.0	166.64	0	166.64	0.0	124.98	179.24
4978	Wein	EU	4052.0	RE_2023_4052	60.0	145.88	0	145.88	0.0	109.41	156.91
10145	Whisky	EU	9219.0	RE_2023_9219	102.0	105.09	0	105.09	0.0	78.82	113.03
84	Wein	EU	200.0	RE_2023_200	128.0	178.31	0	178.31	0.0	133.73	191.79
4698	Rum	EU	3772.0	RE_2023_3772	78.0	154.61	0	154.61	0.0	115.96	166.3
5192	Whisky	EU	4266.0	RE_2023_4266	218.0	216.99	0	216.99	0.0	162.74	233.39
6837	Wein	Asien	5911.0	RE_2023_5911	149.0	222.63	0	222.63	0.0	166.97	239.46
8005	Whisky	Asien	7079.0	RE_2023_7079	3.0	100.56	0	100.56	0.0	75.42	108.16
792	Wein	EU	7850.0	RE_2023_7850	143.0	175.37	0	175.37	0.0	131.53	188.63
4564	Whisky	EU	3638.0	RE_2023_3638	65.0	131.02	5	131.02	-6.550000000000011	98.27	133.88
3862	Whisky	EU	2936.0	RE_2023_2936	128.0	193.23	0	193.23	0.0	144.92	207.84
7407	Whisky	EU	6481.0	RE_2023_6481	93.0	93.47	0	93.47	0.0	70.1	100.54
5682	Champagner	USA	4756.0	RE_2023_4756	51.0	137.86	0	137.86	0.0	103.4	148.28
4249	Whisky	EU	3323.0	RE_2023_3323	35.0	85.46	10	85.46	-8.549999999999997	64.1	82.72
9666	Rum	EU	8740.0	RE_2023_8740	188.0	224.4	0	224.4	0.0	168.3	241.36
1204	Champagner	EU	278.0	RE_2023_278	102.0	120.81	10	120.81	-12.079999999999998	90.61	116.95
2822	Wein	USA	1896.0	RE_2023_1896	241.0	86.55	0	86.55	0.0	64.91	93.09
8986	Rum	EU	8060.0	RE_2023_8060	151.0	140.74	0	140.74	0.0	105.56	151.38
10124	Whisky	EU	9198.0	RE_2023_9198	155.0	145.36	0	145.36	0.0	109.02	156.35
2439	Whisky	EU	1513.0	RE_2023_1513	288.0	133.97	0	133.97	0.0	100.48	144.1
4779	Whisky	Asien	3853.0	RE_2023_3853	180.0	151.25	0	151.25	0.0	113.44	162.68
10055	Wein	Asien	9129.0	RE_2023_9129	50.0	125.32	0	125.32	0.0	93.99	134.79
1753	Whisky	EU	827.0	RE_2023_827	130.0	217.45	10	217.45	-21.75	163.09	210.49
2118	Whisky	USA	1192.0	RE_2023_1192	87.0	163.91	0	163.91	0.0	122.93	176.3
4929	Whisky	USA	4003.0	RE_2023_4003	85.0	218.6	0	218.6	0.0	163.95	235.13
1112	Champagner	EU	186.0	RE_2023_186	148.0	83.58	0	83.58	0.0	62.68	89.9
6670	Wein	EU	5744.0	RE_2023_5744	110.0	168.25	0	168.25	0.0	126.19	180.97
3766	Whisky	EU	2840.0	RE_2023_2840	193.0	166.85	0	166.85	0.0	125.14	179.46
10428	Whisky	USA	9502.0	RE_2023_9502	99.0	118.38	0	118.38	0.0	88.78	127.33
4397	Whisky	EU	3471.0	RE_2023_3471	133.0	220.62	5	220.62	-11.030000000000001	165.46	225.44
3608	Wein	USA	2682.0	RE_2023_2682	274.0	154.53	5	154.53	-7.72999999999999	115.9	157.9
9271	Champagner	EU	8345.0	RE_2023_8345	264.0	227.34	5	227.34	-11.370000000000005	170.5	232.3
2693	Wein	EU	1767.0	RE_2023_1767	119.0	106.22	0	106.22	0.0	79.66	114.25
8479	Whisky	USA	7553.0	RE_2023_7553	277.0	198.18	0	198.18	0.0	148.64	213.16
7030	Whisky	USA	6104.0	RE_2023_6104	78.0	180.84	0	180.84	0.0	135.63	194.51
4857	Champagner	EU	3931.0	RE_2023_3931	54.0	136.68	0	136.68	0.0	102.51	147.01
7245	Whisky	EU	6319.0	RE_2023_6319	163.0	195.97	0	195.97	0.0	146.98	210.79
5814	Whisky	Asien	4888.0	RE_2023_4888	107.0	114.77	0	114.77	0.0	86.08	123.45
6185	Whisky	EU	5259.0	RE_2023_5259	132.0	207.42	0	207.42	0.0	155.56	223.1
4594	Whisky	USA	3668.0	RE_2023_3668	221.0	205.68	0	205.68	0.0	154.26	221.23
4306	Rum	USA	3380.0	RE_2023_3380	114.0	208.53	0	208.53	0.0	156.4	224.29
8286	Whisky	EU	7360.0	RE_2023_7360	128.0	140.33	0	140.33	0.0	105.25	150.94
8935	Whisky	USA	8009.0	RE_2023_8009	258.0	136.58	5	136.58	-6.8300000000000125	102.44	139.56
6311	Whisky	EU	5385.0	RE_2023_5385	48.0	197.69	0	197.69	0.0	148.27	212.64
1386	Whisky	USA	460.0	RE_2023_460	112.0	127.42	0	127.42	0.0	95.56	137.05
2531	Wein	EU	1605.0	RE_2023_1605	107.0	209.34	10	209.34	-20.930000000000007	157.0	202.65
9768	Whisky	EU	8842.0	RE_2023_8842	259.0	153.87	0	153.87	0.0	115.4	165.5
4781	Whisky	EU	3855.0	RE_2023_3855	58.0	175.33	0	175.33	0.0	131.5	188.58
7705	Wein	EU	6779.0	RE_2023_6779	99.0	119.46	0	119.46	0.0	89.6	128.49
7043	Whisky	USA	6117.0	RE_2023_6117	157.0	189.89	5	189.89	-9.48999999999998	142.42	194.04
537	Whisky	EU	3770.0	RE_2023_3770	169.0	226.83	5	226.83	-11.340000000000003	170.12	231.78
8266	Whisky	USA	7340.0	RE_2023_7340	195.0	227.62	0	227.62	0.0	170.72	244.83
10316	Whisky	EU	9390.0	RE_2023_9390	221.0	201.23	0	201.23	0.0	150.92	216.44
1726	Whisky	EU	800.0	RE_2023_800	35.0	105.6	0	105.6	0.0	79.2	113.58
7435	Whisky	USA	6509.0	RE_2023_6509	190.0	219.93	0	219.93	0.0	164.95	236.56
6438	Whisky	Asien	5512.0	RE_2023_5512	82.0	229.32	0	229.32	0.0	171.99	246.66
6674	Rum	USA	5748.0	RE_2023_5748	25.0	210.15	10	210.15	-21.01000000000002	157.61	203.44
2292	Whisky	USA	1366.0	RE_2023_1366	56.0	145.25	5	145.25	-7.259999999999991	108.94	148.42
10021	Wein	EU	9095.0	RE_2023_9095	201.0	121.47	0	121.47	0.0	91.1	130.65
9732	Whisky	EU	8806.0	RE_2023_8806	228.0	215.38	5	215.38	-10.769999999999982	161.54	220.08
2415	Whisky	EU	1489.0	RE_2023_1489	147.0	205.99	5	205.99	-10.300000000000011	154.49	210.48
8946	Champagner	EU	8020.0	RE_2023_8020	48.0	219.95	5	219.95	-11.0	164.96	224.75
1870	Champagner	EU	944.0	RE_2023_944	274.0	182.17	0	182.17	0.0	136.63	195.94
9792	Whisky	EU	8866.0	RE_2023_8866	63.0	121.07	0	121.07	0.0	90.8	130.22
7447	Rum	EU	6521.0	RE_2023_6521	166.0	170.45	0	170.45	0.0	127.84	183.34
5500	Whisky	USA	4574.0	RE_2023_4574	69.0	146.87	0	146.87	0.0	110.15	157.97
4408	Champagner	Asien	3482.0	RE_2023_3482	278.0	172.07	0	172.07	0.0	129.05	185.08
9963	Whisky	EU	9037.0	RE_2023_9037	67.0	225.22	0	225.22	0.0	168.92	242.25
9149	Whisky	Asien	8223.0	RE_2023_8223	26.0	164.6	0	164.6	0.0	123.45	177.04
857	Wein	USA	8890.0	RE_2023_8890	283.0	171.22	0	171.22	0.0	128.42	184.16
1906	Whisky	USA	980.0	RE_2023_980	142.0	89.77	0	89.77	0.0	67.33	96.56
10892	Whisky	EU	9966.0	RE_2023_9966	23.0	113.4	0	113.4	0.0	85.05	121.97
7212	Whisky	EU	6286.0	RE_2023_6286	208.0	166.95	0	166.95	0.0	125.21	179.57
