	Newsletter_1_Cupon_2023	Newsletter_2_Cupon_2023	Newsletter_3_Cupon_2023	Newsletter_4_Cupon_2023	Newsletter_5_Cupon_2023	Newsletter_6_Cupon_2023	Newsletter_7_Cupon_2023	Newsletter_8_Cupon_2023	Newsletter_9_Cupon_2023	Newsletter_10_Cupon_2023	Newsletter_11_Cupon_2023	Newsletter_12_Cupon_2023	KD_NEWS_KEY
22	nein	nein	ja	nein	ja	nein	ja	nein	nein	nein	nein	ja	23
166	ja	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	ja	167
244	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja	nein	245
138	nein	ja	ja	nein	nein	ja	nein	nein	nein	nein	nein	nein	139
171	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	ja	172
146	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	147
61	nein	nein	ja	nein	nein	ja	ja	ja	nein	nein	nein	nein	62
136	nein	nein	ja	nein	nein	ja	nein	ja	nein	nein	nein	ja	137
196	nein	ja	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	197
288	ja	nein	nein	ja	nein	nein	ja	nein	nein	nein	ja	ja	289
101	nein	nein	ja	nein	ja	nein	nein	ja	nein	nein	nein	nein	102
11	nein	nein	nein	ja	nein	ja	nein	ja	nein	nein	nein	ja	12
29	nein	nein	nein	ja	ja	ja	ja	ja	ja	nein	nein	ja	30
269	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	ja	270
27	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	28
272	ja	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	273
105	ja	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	106
209	nein	nein	nein	nein	ja	ja	ja	nein	ja	nein	nein	ja	210
12	nein	nein	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	13
191	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja	192
228	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	ja	229
186	nein	nein	ja	ja	nein	nein	ja	nein	nein	nein	nein	ja	187
144	nein	nein	nein	ja	ja	ja	ja	nein	nein	nein	nein	nein	145
180	nein	ja	nein	ja	nein	ja	ja	nein	nein	nein	nein	nein	181
117	nein	nein	nein	nein	nein	ja	ja	ja	nein	nein	ja	nein	118
19	nein	nein	ja	nein	ja	ja	nein	nein	ja	nein	nein	nein	20
92	ja	nein	nein	nein	ja	ja	ja	nein	nein	nein	nein	ja	93
47	ja	ja	nein	nein	nein	ja	ja	nein	nein	nein	nein	ja	48
296	nein	nein	ja	nein	ja	nein	ja	nein	nein	nein	nein	nein	297
157	nein	nein	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	158
21	ja	nein	nein	nein	ja	ja	ja	ja	nein	nein	ja	ja	22
70	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	nein	71
263	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	264
86	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	ja	87
283	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	ja	284
251	nein	nein	ja	ja	ja	nein	nein	ja	nein	nein	nein	ja	252
94	nein	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	95
90	ja	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	ja	91
155	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	156
232	nein	ja	nein	ja	ja	ja	nein	nein	nein	nein	nein	ja	233
193	nein	nein	ja	nein	nein	ja	ja	nein	nein	nein	nein	ja	194
97	nein	nein	ja	nein	ja	ja	ja	ja	ja	nein	ja	ja	98
112	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein	nein	nein	113
135	nein	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	ja	136
298	ja	nein	nein	nein	ja	nein	ja	ja	nein	nein	ja	ja	299
139	ja	nein	ja	nein	ja	ja	nein	nein	nein	nein	nein	nein	140
226	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	ja	227
297	nein	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	298
54	nein	nein	ja	nein	nein	nein	ja	ja	nein	nein	nein	ja	55
102	nein	nein	nein	ja	ja	nein	ja	ja	nein	nein	nein	nein	103
162	ja	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	ja	163
65	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	nein	ja	66
198	ja	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	ja	199
107	nein	nein	nein	nein	ja	ja	ja	ja	nein	ja	nein	nein	108
95	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	96
299	nein	ja	ja	nein	nein	ja	nein	ja	nein	ja	nein	ja	300
72	nein	nein	ja	nein	nein	nein	ja	nein	nein	nein	ja	ja	73
35	nein	nein	nein	ja	nein	nein	nein	ja	nein	nein	ja	ja	36
57	nein	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	ja	58
128	ja	nein	ja	nein	nein	ja	ja	nein	nein	nein	nein	ja	129
246	nein	ja	ja	nein	ja	nein	ja	nein	nein	nein	ja	ja	247
130	nein	nein	nein	nein	nein	nein	nein	nein	ja	ja	nein	ja	131
109	nein	nein	ja	nein	nein	nein	ja	ja	nein	nein	nein	nein	110
223	nein	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	224
153	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	154
60	nein	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	ja	61
204	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	ja	205
215	nein	nein	nein	nein	nein	ja	ja	nein	ja	nein	nein	ja	216
5	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	6
235	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein	nein	236
16	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	17
239	nein	nein	ja	nein	ja	ja	ja	nein	nein	ja	nein	ja	240
53	nein	nein	ja	nein	ja	ja	ja	nein	nein	nein	nein	ja	54
18	nein	nein	nein	ja	ja	nein	ja	ja	nein	nein	nein	nein	19
260	nein	nein	ja	nein	ja	nein	ja	nein	nein	ja	ja	ja	261
59	nein	ja	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	60
63	nein	nein	nein	ja	ja	nein	ja	nein	nein	nein	nein	ja	64
181	nein	nein	ja	nein	nein	nein	nein	nein	nein	ja	nein	nein	182
123	nein	nein	ja	ja	nein	ja	nein	nein	nein	ja	nein	nein	124
143	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	nein	nein	144
104	nein	nein	ja	nein	nein	ja	ja	nein	ja	nein	nein	nein	105
150	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	151
38	nein	nein	ja	nein	nein	ja	nein	ja	nein	nein	nein	nein	39
45	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	46
108	nein	ja	ja	nein	nein	ja	ja	nein	ja	nein	nein	nein	109
84	nein	nein	ja	nein	nein	nein	ja	ja	nein	nein	nein	ja	85
284	ja	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	nein	285
202	nein	nein	nein	ja	ja	ja	ja	nein	nein	nein	nein	ja	203
17	ja	nein	nein	nein	ja	nein	ja	nein	nein	nein	ja	nein	18
238	nein	nein	ja	nein	nein	ja	ja	nein	nein	nein	ja	ja	239
224	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	ja	ja	225
79	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	80
192	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	ja	193
189	nein	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	190
39	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	ja	40
293	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja	294
218	nein	nein	nein	nein	nein	ja	nein	nein	ja	nein	nein	ja	219
213	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	ja	nein	214
172	nein	ja	nein	nein	ja	nein	ja	ja	nein	nein	ja	nein	173
177	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	ja	178
255	nein	ja	nein	nein	nein	ja	ja	nein	nein	nein	nein	ja	256
99	nein	nein	ja	nein	ja	ja	ja	nein	nein	nein	nein	ja	100
24	nein	nein	ja	ja	nein	nein	ja	nein	ja	ja	nein	nein	25
71	ja	nein	nein	ja	ja	nein	ja	nein	nein	nein	ja	ja	72
76	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	nein	ja	77
210	nein	nein	ja	nein	nein	nein	nein	nein	nein	nein	nein	ja	211
170	nein	ja	nein	nein	ja	ja	nein	ja	nein	nein	nein	ja	171
217	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein	ja	218
40	ja	nein	ja	nein	ja	nein	nein	ja	nein	nein	nein	ja	41
182	nein	nein	ja	nein	nein	ja	ja	nein	ja	nein	nein	nein	183
32	nein	nein	nein	ja	nein	nein	ja	ja	nein	nein	nein	nein	33
292	nein	nein	ja	nein	nein	nein	ja	nein	ja	nein	ja	nein	293
295	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	ja	nein	296
160	nein	nein	ja	nein	nein	ja	ja	nein	nein	nein	nein	nein	161
33	ja	nein	nein	nein	nein	nein	nein	nein	ja	nein	nein	ja	34
207	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	ja	ja	208
49	nein	ja	nein	ja	nein	ja	nein	nein	nein	nein	nein	ja	50
280	nein	nein	nein	nein	ja	nein	nein	nein	ja	nein	nein	ja	281
126	nein	nein	ja	nein	nein	ja	ja	ja	nein	nein	nein	ja	127
58	ja	nein	ja	nein	ja	ja	ja	ja	nein	nein	nein	ja	59
167	nein	nein	ja	nein	nein	nein	ja	nein	nein	nein	nein	ja	168
114	nein	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	ja	115
131	nein	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	ja	132
200	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein	ja	201
46	ja	nein	ja	nein	ja	ja	nein	nein	nein	nein	nein	ja	47
242	nein	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	ja	243
221	nein	nein	nein	nein	nein	nein	nein	ja	nein	ja	nein	ja	222
197	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	198
230	nein	ja	ja	nein	nein	nein	ja	ja	nein	nein	nein	nein	231
93	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	nein	94
179	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	nein	ja	180
68	ja	nein	nein	nein	nein	nein	nein	ja	nein	nein	ja	ja	69
111	nein	nein	nein	nein	nein	ja	ja	ja	nein	nein	ja	ja	112
149	ja	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	ja	150
113	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	nein	114
276	nein	ja	nein	nein	ja	ja	ja	ja	ja	nein	ja	nein	277
279	nein	nein	ja	nein	nein	ja	ja	nein	nein	nein	nein	nein	280
256	nein	nein	nein	ja	ja	ja	nein	nein	ja	nein	nein	ja	257
134	ja	ja	nein	nein	nein	ja	nein	nein	nein	ja	ja	ja	135
115	nein	nein	ja	nein	nein	nein	ja	nein	nein	nein	nein	nein	116
270	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	ja	ja	271
154	ja	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	ja	155
74	nein	nein	nein	nein	nein	nein	ja	ja	ja	nein	nein	ja	75
14	nein	nein	nein	nein	ja	nein	ja	ja	nein	ja	nein	ja	15
147	nein	nein	ja	ja	nein	ja	ja	nein	nein	nein	nein	nein	148
220	nein	nein	nein	ja	nein	nein	nein	ja	ja	nein	nein	ja	221
89	nein	nein	ja	nein	nein	ja	ja	nein	ja	nein	ja	nein	90
6	nein	nein	ja	ja	nein	ja	ja	ja	nein	ja	ja	nein	7
141	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	ja	142
78	ja	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	79
277	nein	nein	ja	ja	ja	ja	nein	nein	ja	nein	nein	ja	278
294	ja	nein	ja	ja	nein	nein	nein	nein	nein	nein	ja	nein	295
227	nein	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	ja	228
152	nein	nein	nein	ja	nein	ja	nein	ja	nein	nein	ja	ja	153
8	nein	nein	ja	nein	nein	nein	nein	ja	nein	ja	nein	nein	9
184	ja	ja	nein	nein	nein	ja	ja	ja	nein	nein	nein	nein	185
278	ja	nein	ja	nein	nein	nein	nein	nein	nein	nein	nein	nein	279
127	nein	nein	ja	nein	ja	nein	ja	ja	nein	nein	nein	ja	128
85	nein	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein	86
140	nein	nein	nein	nein	nein	ja	ja	ja	nein	nein	nein	ja	141
211	nein	nein	nein	nein	ja	ja	ja	ja	ja	nein	nein	nein	212
173	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein	nein	ja	174
253	ja	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	nein	254
110	nein	nein	ja	nein	ja	ja	ja	nein	ja	nein	ja	ja	111
50	ja	nein	ja	ja	nein	nein	ja	nein	nein	nein	nein	ja	51
265	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	266
52	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	nein	ja	53
247	ja	nein	nein	ja	nein	ja	ja	ja	nein	nein	nein	ja	248
225	nein	nein	ja	nein	nein	ja	nein	ja	nein	nein	ja	nein	226
30	nein	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja	31
96	nein	nein	ja	nein	nein	nein	ja	ja	ja	nein	nein	nein	97
73	nein	nein	ja	nein	ja	nein	ja	ja	ja	nein	ja	ja	74
266	nein	nein	ja	ja	nein	ja	nein	nein	nein	ja	nein	ja	267
37	nein	nein	nein	nein	nein	nein	nein	ja	ja	nein	nein	ja	38
273	nein	nein	ja	nein	ja	nein	nein	ja	nein	ja	nein	ja	274
103	nein	nein	nein	ja	ja	ja	nein	nein	ja	nein	ja	ja	104
34	nein	nein	nein	ja	ja	nein	nein	ja	nein	nein	nein	nein	35
9	ja	ja	ja	ja	nein	ja	ja	nein	nein	nein	ja	nein	10
44	ja	nein	ja	nein	nein	ja	ja	ja	nein	nein	nein	ja	45
156	nein	nein	ja	ja	nein	nein	ja	nein	nein	nein	nein	ja	157
245	ja	nein	nein	nein	ja	nein	nein	nein	ja	nein	nein	ja	246
3	nein	nein	ja	nein	nein	ja	ja	ja	nein	nein	ja	nein	4
282	nein	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein	ja	283
203	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	ja	ja	204
206	nein	nein	ja	nein	nein	nein	ja	nein	nein	nein	nein	ja	207
98	nein	nein	nein	nein	ja	nein	ja	nein	ja	nein	nein	nein	99
67	nein	ja	nein	ja	nein	ja	ja	nein	nein	nein	nein	ja	68
222	nein	nein	nein	nein	ja	nein	nein	nein	nein	nein	ja	nein	223
194	ja	nein	ja	nein	ja	nein	ja	nein	ja	nein	nein	nein	195
174	nein	nein	nein	nein	ja	ja	ja	nein	ja	nein	nein	ja	175
264	nein	ja	nein	nein	ja	ja	nein	nein	nein	nein	nein	ja	265
168	nein	nein	nein	nein	ja	nein	ja	nein	nein	nein	nein	nein	169
254	nein	nein	ja	nein	nein	ja	nein	nein	nein	nein	ja	nein	255
201	nein	nein	nein	nein	nein	ja	ja	nein	nein	nein	nein	nein	202
165	nein	nein	nein	nein	ja	ja	ja	nein	ja	nein	nein	nein	166
4	nein	nein	nein	nein	ja	nein	ja	ja	nein	nein	nein	nein	5
82	nein	nein	ja	ja	nein	nein	nein	nein	nein	nein	nein	ja	83
